BPUIC1;BPUIC2;DISTANCE_GEODESIC;DISTANCE_EXACT
8502111;8502112;2.3246;2.4562
8501035;8501033;5.0718;5.1827
8501006;8501000;0.8509;0.851
8506209;8506208;5.0261;5.6093
8508057;8508058;0.9596;
8505400;8505472;1.8632;
8504131;8504130;3.518;3.8107
8506143;8506126;0.7013;0.702
8509366;8509365;2.507;
8501048;8501047;1.0394;1.0391
8501191;8530262;0.4456;
8504415;8504414;2.6562;2.7913
8500010;8500020;4.6526;4.8387
8507472;8507471;2.9121;
8501122;8501123;1.5877;1.6066
8505395;8505390;1.4277;
8508181;8508182;1.8729;
8506294;8506201;4.1114;
8504464;8504463;1.2128;
8501300;8501380;0.1761;
8503502;8503503;3.3581;3.638
8504025;8504026;2.6352;2.7979
8530378;8530430;0.5021;
8503299;8503110;1.7013;
8501481;8501725;0.2499;
8502195;8502180;0.5249;
8517336;8505018;2.9814;3.922
8504182;8504181;1.6444;
8502180;8502194;1.4822;
8505497;8505496;1.4921;
8509069;8509068;0.9931;
8508261;8508260;2.3083;
8508005;8508004;3.0857;3.1516
8503118;8503116;3.0569;3.0954
8509170;8509169;3.5579;
8502221;8502229;2.6731;2.8754
8506197;8506196;2.7411;2.7844
8508297;8516354;2.9267;
8501601;8501602;4.2185;4.4173
8503293;8503286;0.7561;
8500170;8500162;0.6407;
8502164;8502163;2.9037;
8501023;8501030;8.321;8.4754
8500171;8500164;0.7004;
8502113;8502114;5.8653;5.869
8502032;8502031;1.6462;1.637
8505396;8505392;0.5378;
8501053;8501059;1.251;
8501281;8501282;0.38;
8503426;8503427;1.9417;2.0475
8506292;8506291;3.5404;
8509002;8509056;1.2513;
8500309;8500305;15.0414;20.5742
8502120;8502001;1.5695;
8502000;8500218;3.5208;3.7126
8500301;8500313;1.9113;1.9197
8503509;8503001;3.2635;3.3416
8501035;8501042;2.1082;2.1318
8504404;8504403;1.4171;1.5569
8502203;8515995;1.1494;1.1491
8508162;8508173;0.5224;
8504020;8504014;3.3112;3.7732
8506106;8506105;3.7878;3.7925
8504308;8504309;2.9714;2.9927
8503306;8503147;3.095;
8501456;8501457;1.2345;
8503294;8503288;0.9882;
8504464;8504465;1.4007;
8504126;8504125;2.876;2.9287
8507474;8507475;15.5777;
8501266;8501265;0.75;
8507065;8507064;1.0359;
8504483;8504484;3.3406;
8501262;8502476;0.6946;
8509255;8509352;0.9251;
8504206;8504205;4.128;4.1822
8506351;8506350;1.2388;
8530263;8504200;1.0891;
8506138;8506137;2.8165;2.9078
8501054;8501037;0.8881;
8505207;8505205;8.4761;12.9149
8509189;8509192;10.8214;
8501487;8530523;0.5709;
8502201;8502202;3.5357;3.8232
8503231;8503230;0.8845;0.908
8530334;8501563;0.488;
8501475;8501473;2.2928;
8501484;8501554;0.4046;
8506021;8506022;1.8433;1.8689
8505584;8505580;3.0973;
8518459;8502204;3.1072;
8509177;8509178;2.2338;
8506021;8506020;2.2239;2.456
8508329;8508304;2.3759;
8501001;8501002;1.7636;2.026
8506182;8506168;1.232;1.2638
8500122;8500121;3.3543;3.3883
8502273;8502248;0.2323;
8501100;8501151;0.7624;
8506184;8506183;2.9813;3.0274
8509412;8509411;2.3821;2.3804
8501420;8501421;2.8439;2.8554
8508062;8508061;1.0731;
8501054;8501090;0.4569;
8506372;8506371;1.3723;
8519685;8502123;0.6753;
8509188;8509187;1.6975;
8515993;8515992;0.598;0.598
8501059;8501030;0.9199;
8504003;8504010;1.6537;1.7719
8506302;8506392;2.9463;
8503307;8503308;3.3879;3.4585
8515995;8502230;1.173;1.229
8506385;8506384;0.7438;
8503210;8503209;1.728;1.73
8501399;8501398;2.404;
8509363;8509361;1.6603;
8503228;8503227;3.8841;3.9828
8501466;8501453;1.6874;
8509064;8509065;2.9954;
8500180;8500177;1.8839;
8503113;8503115;7.6495;8.0127
8508311;8508310;3.2453;
8507088;8507095;2.5965;
8518452;8501118;2.1513;2.156
8516351;8508321;0.9466;
8530225;8504388;1.0058;
8502209;8503202;2.3516;2.4237
8501008;8516283;1.3689;1.4006
8505304;8518475;2.8658;3.0881
8505214;8505415;3.1017;
8501199;8501480;0.4427;
8506211;8506210;3.3552;4.3584
8509367;8509368;1.5032;
8501008;8501007;3.9247;
8504231;8504221;3.0467;
8509353;8509352;4.709;
8502162;8516450;0.5389;
8503505;8503529;3.5002;3.6889
8506400;8506278;0.4171;
8506101;8506102;2.4316;2.4743
8508271;8508267;1.6645;
8501462;8501726;0.5286;
